Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2020-282979,6/07/2020 10:24,Term 3,Violence,Regional South,Shoalhaven,Indecent Assault,,,A student has inappropriately touched another student on school grounds.  #### was followed. #####.,1,On workplace grounds
S-2020-282985,6/07/2020 10:41,Term 3,Violence,Metropolitan South,Botany Bay,Indecent Assault,,,"A student has inappropriately touched another student over clothing on school grounds. Executive staff were notified who contacted parents. Internal notifications have been made and supports are in place. The Director, Educational Leadership will be notified.",1,On workplace grounds
S-2020-283017,6/07/2020 11:18,Term 3,Violence,Regional North,Lake Macquarie North,Indecent Assault,,Sexting,"Executive staff member reports concerns for a student who allegedly indecently assaulted another student on school grounds and distrusted inappropriate images of another student. Parents will be contacted. #### has been followed and supports will be put in place. Director, Educational Leadership will be advised. #####.",1,On workplace grounds
S-2020-283070,6/07/2020 13:22,Term 3,Violence,Metropolitan South & South West,Chipping Norton,Indecent Assault,,,"Executive staff member reports that a student allegedly indecently assaulted another student on school grounds. Parents have been notified. #### has been followed and supports will be organised. Director, Educational Leadership will be informed. #####.",1,On workplace grounds
S-2020-283107,6/07/2020 14:54,Term 3,Violence,Regional North,Mooney Mooney,Indecent Assault,,,"A student alleged that another student touched them inappropriately, on school grounds. The school is also managing the matter locally. #####",1,On workplace grounds
S-2020-283127,6/07/2020 16:08,Term 3,Violence,Rural South and West,Queanbeyan,Indecent Assault,,,"A student alleged that another student touched them inappropriately, on school grounds. The school is also managing the matter locally. #####",1,On workplace grounds
S-2020-284575,17/07/2020 11:52,Term 3,Violence,Metropolitan South & South West,Eastern Creek,Indecent Assault,,,A student has allegedly touched another student inappropriately on school grounds. #### was followed. #####. Executive was notified.,1,On workplace grounds
S-2020-284735,20/07/2020 8:37,Term 3,Violence,Regional North and West,Maitland,Indecent Assault,,,A student indecently assaulted another student on school grounds. Executive staff are aware and  parents were notified. The matter is being managed at a local level. #####,1,On workplace grounds
S-2020-284736,20/07/2020 8:40,Term 3,Emergency Situation,Metropolitan South & South West,Glenfield,Utility Failure,,,Executive staff reported that there is no water supply within the school. Relevant supplier has been contacted for assistance. All staff have remained on site. Students are not at school due to staff development day. The school remains operational and managing the matter.,1,On workplace grounds
S-2020-284770,20/07/2020 9:21,Term 3,Welfare,Metropolitan North,Carlingford,Student Welfare Concerns,Student Personal Traumatic Incident,,Executive staff reports a student has passed away unexpectedly off school grounds. Supports are currently being arranged.,1,On workplace grounds
S-2020-286142,21/07/2020 12:20,Term 3,Violence,Metropolitan North,Mount Druitt,Assault,,,"An employee reports a student in a heightened state has threatened an employee, assaulted another employee with an implement and xxxxx assaulted another student on school grounds. The school was placed into lockdown. Police, Ambulance and parents were notified. The student was conveyed to hospital by ambulance. Lockdown was lifted and the school is fully operational. Staff and students impacted have not sustained any physical injuries. Director, Educational Leadership is aware.",1,On workplace grounds
S-2020-286264,21/07/2020 13:00,Term 3,Weapon,Rural North,Lennox Coast,Possession of a Weapon,,Threat / Intimidation / Offens. Conduct,"Executive staff member reports that a student was found in possession of a weapon on school grounds. Weapon was confiscated and student became escalated. School was briefly placed into lockdown but resumed normal operations shortly after. No injuries were sustained. Carers were contacted and collected the student. Police will be contacted and supports will be organised. Director, Educational Leadership will be informed.",1,On workplace grounds
S-2020-286459,21/07/2020 13:57,Term 3,Violence,Rural South and West,Gundagai,Assault,,Student Welfare Concerns,"Executive staff reports that a student assaulted another student on school grounds. The student then left school grounds, whereabouts are currently unknown and there are concerns for their welfare. Police have been notified and are investigating. The parents of the assaulted student were notified and have collected the student and are seeking medical treatment. Mandatory reporting will be followed.",1,On workplace grounds
S-2020-286711,21/07/2020 15:08,Term 3,Violence,Regional North and West,Hastings,Assault,,,"xxxxx students have xxxxx assaulted a xxxxx student on workplace grounds. Minor injury was sustained and first aid was administered. Executive staff were notified who contacted police and parents. xxxxx xxxxx has been taken and internal notifications have been made. Supports are in place. The Director, Educational Leadership will be notified.",1,On workplace grounds
S-2020-286972,21/07/2020 16:47,Term 3,Violence,Metropolitan South & South West,Woronora River,Assault,,,"Executive staff member reported an assault on a student by another student on school grounds. The incident was  filmed by other students. Parents were notified and transported the student to hospital in a xxxxx xxxxx. Police contacted and Media Unit will be notified. Supports are being put in place. The Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2020-287008,22/07/2020 7:16,Term 3,Violence,Regional South,Campbelltown,Allegations Of Sexual  Assault,,,XXXX students were behaving inappropriately while on school camp. XXXX student alleges XXXX students engaged in an inappropriate activity. Parents were notified and the Director Of Educational Leadership is aware. #####,1,Excursion
