Case Number,Date/Time Opened,Term,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2021-116066,13/07/2021 9:20,Term 3,Emergency Situation,Regional North and West,Great Lakes,Flood,,,"An executive staff member reports flooding on school grounds due to blocked drains. Maintenance repairs have commenced. The school is currently operational. Director, Educational Leadership is aware.",1,On workplace grounds
S-2021-116088,13/07/2021 9:46,Term 3,Welfare,Rural North,Mooki,Student Welfare Concerns,Absconding / Missing Student,,"Executive staff member reports of a student absconding school grounds and whereabouts are unknown. Parent notifed and Police were contacted and are currently investigating. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2021-116089,13/07/2021 9:48,Term 3,Welfare,Rural North,Mooki,Student Welfare Concerns,Absconding / Missing Student,,An executive staff member reported a student absconded from school grounds and the student's whereabouts is unknown. Police and parent were contacted. Media Unit and the Director of Educational Leadership will be notified.,1,On workplace grounds
S-2021-116102,13/07/2021 10:05,Term 3,Emergency Situation,Metropolitan North,Ryde,Utility Failure,,,An Executive staff member reports of a utility failure on school grounds. Emergency services were contacted and attended the school. The issue will be resolved promptly. No injuries sustained. The school is managing the matter.,1,On workplace grounds
S-2021-116130,13/07/2021 10:51,Term 3,Violence,Regional North and West,Taree,Indecent Assault,,Nuisance Use of Technology,Employee reports allegations of inappropriate behaviour from a student. Supports will be put in place. #### reporting was followed. #####,1,On workplace grounds
S-2021-116480,13/07/2021 16:21,Term 3,Welfare,Rural North,Mooki,Student Welfare Concerns,Absconding / Missing Student,,Executive staff member reports that a student has absconded from school. The student has not yet been located. The police have been notified by the parent. The parents are aware. The school is managing the incident.,1,On workplace grounds
S-2021-116485,13/07/2021 16:29,Term 3,Violence,Rural South and West,Wagga Wagga,Assault,,,"An Executive staff member reports a student has assaulted another student on school grounds. First aid was offered, though declined. Parents have been notified. Police will be notified. The school is managing the matter. Supports are in place. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2021-116594,14/07/2021 10:14,Term 3,Violence,Rural North,Lennox Coast,Assault,,Child Protection,"An Executive staff member reports a student has been involved with a physical altercation with another student on school grounds. First aid was not sought. Parents notified. ##### student was collected by parent. The other student was involved in an assault against parent. Police were notified and attended. First aid was not sought. The school is managing the matter. Supports are in place. #### reporting will be followed. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2021-116640,14/07/2021 11:06,Term 3,Violence,Rural North,Wollumbin,Indecent Assault,,,"An Executive staff member reports a student has made an allegation of ##### assault against another student on school grounds. Parents are aware. Police will be notified. Supports are in place, and the school is managing the matter. #### reporting has been followed. The Director of Educational Leadership is aware.",1,On workplace grounds
S-2021-117102,15/07/2021 9:43,Term 3,Violence,Regional North,Lake Macquarie West,Indecent Assault,,,"A staff member reports that a student has made an allegation of ##### assault by their sibling. Parent is aware. #### reporting was followed. Support will be organised. The school is still managing the matter. Director, Educational Leadership will be informed.",1,On workplace grounds
