Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2022-006930,12/01/2022 10:42,Term 1,Emergency Situation,Metropolitan North,Cambridge Park,Utility Failure,,,"Employee reports that the gas line for the school was turned off as a result of a construction incident on school grounds. School is managing the matter. No injuries were reported. Executive and Director, Educational Leadership are aware.",1,On workplace grounds
S-2022-011181,17/01/2022 16:13,Term 1,Emergency Situation,Rural South and West,Albury,Flood,,,Executive staff member has advised that there has been flooding to several classrooms at the school site following a storm. The local assets management officer to be notified. No injuries to staff or students and no impact to school operations.,1,On workplace grounds
S-2022-013046,18/01/2022 10:41,Term 1,Welfare,Regional South,Macarthur,Attempted Suicide,,,Executive staff member reports an attempted ##### on school grounds. Supports in place. ##### run. DEL aware.,1,On workplace grounds
S-2022-020633,28/01/2022 15:36,Term 1,Emergency Situation,Regional North,Glenrock,Utility Failure,,,"A staff member reports a plumbing issue off school grounds, which has impacted school grounds. Executive staff are aware.",1,On workplace grounds
S-2022-022342,1/02/2022 16:08,Term 1,Emergency Situation,Rural North,Tweed Coast,Utility Failure,,,"An executive staff member reported a utility failure on school grounds. No injuries were sustained. NSW Fire and Rescue were contacted and attended. The school remains fully operational. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-023440,2/02/2022 16:31,Term 1,Violence,Connected Communities,Connected Communities Team 1,Threat / Intimidation / Offens. Conduct,,,"Executive staff member reports of a #### in possession of a ##### and threatening # #### #####. No physical injuries sustained. ##### notified. ##### were called and attended the school and ######off school grounds. Supports offered to #####. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-023496,2/02/2022 17:09,Term 1,Welfare,Metropolitan South and West,Glenfield,Student Behaviour,,,"An #####staff member reports sustaining an injury from a ##### in a ##### state on school grounds. No first aid was administered. Parents will be notified and the student remained on school grounds. Supports are in place. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-023565,3/02/2022 8:16,Term 1,Emergency Situation,Rural North,Richmond,Flood,,,"An executive staff member reports the school will be non-operational due to flooding. Staff members and parents have been notified. No injuries to staff or students. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-024041,3/02/2022 11:10,Term 1,Malicious Use of Technology,Regional North,Hawkesbury,Nuisance Use of Technology,,,##### reports concerns on the school grounds following a call from##### involving##### made by unknown i##### relating to a #####. Police is investigating. Director Educational Leadership is aware. ##### will be contacted.,1,On workplace grounds
S-2022-024162,3/02/2022 12:07,Term 1,Emergency Situation,Rural North,Lennox Coast,Utility Failure,,,"Executive employee reports a utility failure on school grounds. Director, Educational Leadership is aware.",1,On workplace grounds
