Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2023-375297,9/01/2023 8:45,Term 1,Emergency Situation,Metropolitan South,Parramatta,Structural Fire,,,"A staff member reports a fire causing some damage to school property over the school holidays. No physical injuries were sustained. Emergency Services were contacted and attended. Asset Management Unit have been notified. Supports are in place. Director, Educational Leadership has been made aware.",1,On workplace grounds
S-2023-375345,9/01/2023 13:10,Term 1,Welfare,Regional South,Shoalhaven,Problematic and Harmful Sexualised Behaviour,,,School staff member reports student engaging in inappropriate behaviour towards another student. ##### has been followed. #####,1,On workplace grounds
S-2023-375355,9/01/2023 14:09,Term 1,Welfare,Regional South,Camden,Problematic and Harmful Sexualised Behaviour,,,School staff member reports student engaging in inappropriate behaviour towards other students. ##### followed. #####,1,On workplace grounds
S-2023-375391,10/01/2023 13:18,Term 1,Violence,Regional North and West,Hastings,Indecent Assault,,,Executive staff member reports student disclosing incidents of ##### Assault during an off site activity by another student. ##### has been followed. #####,1,Off site activity
S-2023-375628,20/01/2023 9:33,Term 1,Emergency Situation,Regional North and West,Wambuul-Macquarie,Utility Failure,,,School reports of a fault in a power equipment on school grounds. Emergency services were called and attended. No damage to school. Executive staff aware.,1,On workplace grounds
S-2023-375733,23/01/2023 14:16,Term 1,Emergency Situation,Metropolitan South and West,Sutherland,Structural Fire,,,"An executive reports of a structural fire within school grounds. Emergency services contacted. No injuries reported, Director of Educational Leadership will be notified.",1,On workplace grounds
S-2023-375973,27/01/2023 13:47,Term 1,Emergency Situation,Regional North and West,Wambuul-Macquarie,Utility Failure,,,An employee reports a utility failure on school grounds. The school is managing the matter. School Executive staff are aware.,1,On workplace grounds
S-2023-375980,27/01/2023 14:04,Term 1,Emergency Situation,Regional North and West,Wambuul-Macquarie,Utility Failure,,,"Executive staff member reports an incident on school grounds due to a utility failure. No emergency services required. AMU will be notified. Supports in place. Director, educational leadership has been notified.",1,On workplace grounds
S-2023-376111,30/01/2023 9:29,Term 1,Welfare,Rural North,Lismore,Problematic and Harmful Sexualised Behaviour,,,Executive staff member reports students engaging in inappropriate behaviour on school grounds. ##### has been followed. Executive staff aware. School to gather more information. #####,1,On workplace grounds
S-2023-376275,30/01/2023 15:16,Term 1,Emergency Situation,Regional North,Mooney Mooney,Utility Failure,,,Executive staff reports a sewer had overflowed onsite. Emergency services were called. Asset Management Unit is aware. A plumber and electrician have been engaged to fix the issues. Director Educational Leadership is aware. School remains operational today.,1,On workplace grounds
S-2023-376321,30/01/2023 17:57,Term 1,Criminal Activity,Regional North,Port Stephens,Bomb Threat/Suspicious Package,,,The school has received threats to the school from an anonymous caller. Police have been contacted and their advice will be followed. DEL is aware and appropriate supports will be available for staff.,1,On workplace grounds
S-2023-376482,31/01/2023 11:55,Term 1,Welfare,Regional North and West,Great Lakes,Student Behaviour,,,"An executive employee reports an incident with a student on school grounds. No injuries sustained. Student was collected from school grounds. Supports will be implemented. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2023-376508,31/01/2023 12:25,Term 1,Emergency Situation,Rural North,Richmond,Utility Failure,,,"Executive staff report Utility failure causing school closure due to no running water.Electricity Provider to be contacted. Parents notified and students collected. Director, Educational Leadership is aware",1,On workplace grounds
S-2023-376522,31/01/2023 12:38,Term 1,Emergency Situation,Metropolitan South and West,Woronora River,Structural Fire,,,"Structural Fire in ceiling of school Building  #####. No injuries reported. Fire Brigade on site now. School evacuated to Emergency Assembly area. Exec Dir is aware, SINSW Director is aware, AMU attending site",1,On workplace grounds
S-2023-376707,31/01/2023 15:44,Term 1,Emergency Situation,Metropolitan South and West,Glenfield,Utility Failure,,,Executive staff reports utility failure on school grounds. The school is managing the matter. School Executive staff are aware.,1,On workplace grounds
S-2023-376781,1/02/2023 8:04,Term 1,Violence,Regional North and West,Bathurst,Allegations Of Sexual Assault,,Sexting,"An Executive staff member reports allegations of ##### assault involving ##### student. Police have been informed. Parent notified. Supports are in place. ##### has been followed. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2023-376978,1/02/2023 11:03,Term 1,Welfare,Regional South,Goulburn,Problematic and Harmful Sexualised Behaviour,,,"Executive staff member reports student engaging in inappropriate behaviour on school grounds. ##### has been followed. Executive staff aware. Director, Educational Leadership aware.  #####",1,On workplace grounds
S-2023-376997,1/02/2023 11:32,Term 1,Emergency Situation,Rural South and West,West Wyalong,Utility Failure,,,"Executive staff reports a utility failure on school grounds. No injuries sustained. Asset Management unit to be informed. Director, Educational Leadership will be made aware.",1,On workplace grounds
S-2023-376999,1/02/2023 11:37,Term 1,Welfare,Regional North and West,Bathurst,Problematic and Harmful Sexualised Behaviour,,,"An executive staff member reported a student who displayed an inappropriate behaviour towards serveral students on school grounds. ##### was followed. Police were notified. Parents are aware. Support will be provided to the involved students. School continues to manage the matter. Director, Educational Leadership was notified.",1,On workplace grounds
S-2023-377142,1/02/2023 13:43,Term 1,Emergency Situation,Regional South,Lake Illawarra South,Utility Failure,,,"An executive staff member reports utility failure affecting water supply on school grounds. The school remains operational. Asset management unit to be contacted. Director, Educational Leadership is aware.",1,On workplace grounds
S-2023-377149,1/02/2023 13:46,Term 1,Violence,Regional North,Lake Macquarie North,Assault,,,An executive staff member reports an employee sustained an injury after being assaulted by a student on school grounds. First aid was administered and staff member has been conveyed to hospital for further treatment. Police were notified and parents have been contacted. Supports are in place and school currently managing the matter.,1,On workplace grounds
S-2023-377150,1/02/2023 13:47,Term 1,Violence,Metropolitan South and West,Eastern Creek,Indecent Assault,,,Executive staff member reports student disclosing incidents of ##### Assault on school grounds by another student. ##### has been followed #####,1,On workplace grounds
S-2023-377286,1/02/2023 15:00,Term 1,Violence,Metropolitan South and West,Bungarribee,Threat / Intimidation / Offens. Conduct,,,Executive staff reports threatening behaviour displayed by ##### students on school grounds. No injuries were sustained. Police have been notified. Supports are available. Police will be contacted. Director Educational Leadership will be advised.,1,On workplace grounds
S-2023-377376,1/02/2023 16:02,Term 1,Emergency Situation,Rural North,Peel,Utility Failure,,,An employee called to report a utility failure. No injuries. Assets management unit has been notified. Executive staff are aware.,1,On workplace grounds
S-2023-377423,1/02/2023 16:29,Term 1,Violence,Metropolitan South and West,Eastern Creek,Assault,,,Executive staff member reports a student has assaulted a parent on school grounds. First aid applied. Police called. Parents have been notified. Director Educational Leadership is aware.,1,On workplace grounds
