Case Number,Date/Time Opened,Term ,Incident Group,Operational Directorate,Principal Network Name,Primary Category,Primary Sub-Category,Secondary Category,Summary of the Incident (External Distribution),Incident Priority Rating,Incident Occurred
S-2022-209365,4/07/2022 9:20,Term 3,Violence,Metropolitan South and West,Cowpasture,Allegations Of Sexual Assault,,,,1,On workplace grounds
S-2022-209824,4/07/2022 13:08,Term 3,Violence,Rural South and West,Eden-Monaro,Indecent Assault,,,An executive staff member reports allegations of ##### assault involving ##### students. Parent is aware. Support is currently being organised. ,1,On workplace grounds
S-2022-209837,4/07/2022 13:24,Term 3,Violence,Regional South,Wollongong North,Indecent Assault,,,An executive staff member reports a student has allegedly been ##### assaulted by a community member off school grounds. ##### has been followed. Parent to be notified. Supports to be arranged. ,1,On workplace grounds
S-2022-209862,4/07/2022 14:49,Term 3,Emergency Situation,Regional South,Lake Illawarra South,Flood,,,"An Executive staff member reports the school has been impacted by flooding, and remains operational. Asset management unit have been notified. No one has been injured. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-210019,5/07/2022 9:40,Term 3,Violence,Regional North,Tuggerah Lakes,Indecent Assault,,,An executive staff member reports an incident of ##### assault involving ##### students on school grounds. ##### has been followed. Parents to be notified. Supports are currently being arranged. ,1,On workplace grounds
S-2022-210149,5/07/2022 12:34,Term 3,Violence,Metropolitan South and West,Liverpool,Indecent Assault,,,Executive staff member reports #### notifying school of an incident of ##### assault occurring on school grounds by a student towards another student. ##### has been followed. ,1,On workplace grounds
S-2022-210521,8/07/2022 13:48,Term 3,Violence,Regional North and West,Hastings,Allegations Of Sexual Assault,,,Executive staff member reports a student disclosing Allegations of ##### Assault by another student. ##### has been followed. ,1,On workplace grounds
S-2022-210525,8/07/2022 13:55,Term 3,Violence,Regional South,Wollongong,Indecent Assault,,,Executive staff member reports a student disclosing an incident of ##### Assault by another student on school grounds. ##### has been followed. ,1,On workplace grounds
S-2022-210574,11/07/2022 11:01,Term 3,Emergency Situation,Regional North and West,Maitland,Flood,,,"An executive staff member reports that the school has been impacted by floods. No one has been injured or impacted. Asset Management Unit will be contacted. Director, Educational Leadership has been informed.",1,On workplace grounds
S-2022-210822,14/07/2022 7:54,Term 3,Violence,Regional South,Shoalhaven,Indecent Assault,,,Executive staff report an ##### assault that has occurred on school grounds. ##### has been followed. ,1,On workplace grounds
S-2022-211062,15/07/2022 14:18,Term 3,Emergency Situation,Metropolitan North,North Sydney,Utility Failure,,,"An executive staff member reports a utility failure, which caused by an unexpected fire incident on school grounds. The incident happened over the school holidays. The real cause is unknown. No one was injured or impacted. Asset Management has been notified. Director, Educational Leadership will be informed.",1,On workplace grounds
S-2022-211156,17/07/2022 18:00,Term 3,Emergency Situation,Regional South,Lake Illawarra South,Utility Failure,,,"Executive staff member has advised that the school alarm system is not working properly. The issue has been escalated to Safety and Security. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-212119,19/07/2022 10:53,Term 3,Violence,Rural South and West,Temora,Threat / Intimidation / Offens. Conduct,,,"An executive staff member reports a student has attended school and used threatening language towards another student. #### was contacted. Police were contacted and arrived at the scene shortly after. Police were able to remove the students off the premises and into the care of their ####. Internal and external supports are currently being organised for the student. Director, Educational Leadership to be notified.",1,On workplace grounds
S-2022-212124,19/07/2022 10:55,Term 3,Emergency Situation,Rural North,Peel,Utility Failure,,Exposure to Chemicals,"Executive staff member reports of school being evacuated for a short period of time due to a gas leak on school grounds. Emergency services were contacted and attended. School was assessed and deemed safe for staff and students to return. School remains operational. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-212357,19/07/2022 12:51,Term 3,Substances,Metropolitan South and West,St Andrews,Usage and Consumption of Substances,None of Above,,"An executive staff member reports concerns for a student after they ############ on school grounds. First aid was administered. Parents and emergency services were contacted and the student was conveyed to hospital via ambulance for treatment. ##### was completed and supports will be provided to all students impacted. The Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-212521,19/07/2022 14:27,Term 3,Welfare,Rural South and West,Orange,Student Welfare Concerns,Absconding / Missing Student,,An employee reports that a student has ##### from school grounds. ##### was notified. The student's whereabouts is #####. Support is in place. Executive staff were made aware.,1,On workplace grounds
S-2022-212552,19/07/2022 14:37,Term 3,Violence,Connected Communities,Connected Communities Team 1,Assault,,,"An executive staff member reports a student was assaulted by another student on school grounds. The incident was filmed and shared to other students. First aid applied. Parents contacted and collected students. Media Unit will be informed. Police have been contacted. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-212604,19/07/2022 14:56,Term 3,Violence,Regional North and West,Upper Hunter,Assault,,,"Executive employee reports a  #####  assault involving ##### students on school grounds. A student sustained an injury and first aid was applied. Parents were notified and collected the students. The injured student was conveyed to hospital for further medical treatment. Police were contacted. The school is managing the matter and supports are in place. Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-212671,19/07/2022 15:24,Term 3,Welfare,Metropolitan South and West,St Andrews,Student Welfare Concerns,Absconding / Missing Student,,"An executive staff member reports a student has  #####  from school. Police are investigating. Parent has been notified. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-212683,19/07/2022 15:30,Term 3,Welfare,Regional South,Wollondilly,Attempted Suicide,,,Executive staff member reports a student attempted ##### off school grounds. Parents conveyed student to hospital and was discharged. Supports are in place. ##### has been followed. Director Educational Leadership will be notified.,1,On workplace grounds
S-2022-212774,19/07/2022 16:08,Term 3,Violence,Rural South and West,Deniliquin,Assault,,,Executive staff member reports a student has assaulted another student during a sports activity on school grounds. Parents and ambulance were called. Student conveyed to hospital via parent. Supports are in place. Director Educational Leadership will be notified.,1,On workplace grounds
S-2022-212798,19/07/2022 16:22,Term 3,Violence,Rural North,Clarence Valley,Threat / Intimidation / Offens. Conduct,,,"Executive staff member reports a student has threatened staff and damaged property on school grounds. Police, ambulance and parents called. Student was collected by parent. Supports are in place. ##### will be followed. Director Educational Leadership will be notified.",1,On workplace grounds
S-2022-213067,20/07/2022 8:45,Term 3,Weapon,Regional South,Lake Illawarra South,Possession of a weapon,,,"An executive staff member reports a student was found in possession of ##### on school grounds. No injuries were sustained. The ##### was ###### and secured. Parents were notified and police will be contacted. Support will be provided and The Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-213115,20/07/2022 9:18,Term 3,Emergency Situation,Metropolitan North,Gordon,Utility Failure,,,"An executive staff member reports a utility failure on school grounds. Asset Management are aware. Director, Educational Leadership has been notified.",1,On workplace grounds
S-2022-213146,20/07/2022 9:33,Term 3,Welfare,Regional South,Lake Illawarra North,Attempted Suicide,,,An executive staff member reports concerns for a student after a ##### attempt on school grounds. No injuries were sustained. Parents were notified and medical treatment will be sought. ##### was completed and supports will be provided to the student. Executive staff are aware.,1,On workplace grounds
S-2022-213241,20/07/2022 10:05,Term 3,Emergency Situation,Metropolitan South and West,St Andrews,Utility Failure,,,A utility failure was reported on school grounds. Emergency services attended. The school has remained operational. Executive staff are aware.,1,On workplace grounds
S-2022-213257,20/07/2022 10:10,Term 3,Emergency Situation,Rural North,Tweed Coast,Utility Failure,,,"An executive staff member reports the school will be non operational due to utility failure on school grounds. Parents and staff will be notified. The Director, Educational Leadership is aware.",1,On workplace grounds
S-2022-213270,20/07/2022 10:12,Term 3,Welfare,Regional North,Lake Macquarie North,Student Welfare Concerns,Student Personal Traumatic Incident,,"An executive staff member reports student welfare concerns following a ##### which occurred on school grounds. No  #####  injuries sustained. Parents are aware. Director, Educational Leadership has been notified.",1,On workplace grounds
S-2022-213377,20/07/2022 11:00,Term 3,Weapon,Metropolitan North,Mount Druitt,Possession of a weapon,,,"Executive staff report a student had been in possession of a #####on school grounds. No threats or harm was caused. Police were contacted and have investigated. Parents were notified. Director, Educational Leadership has been informed.",1,On workplace grounds
S-2022-213517,20/07/2022 11:51,Term 3,Violence,Regional North,Blue Mountains,Indecent Assault,,,"Executive staff reports well-being concerns for a student who was ##### assaulted by another student on school grounds. Police were contacted. Parents are aware. Supports are in place for ##### students. ##### has been followed. The Director, Educational Leadership was notified.",1,On workplace grounds
S-2022-213522,20/07/2022 11:55,Term 3,Welfare,Metropolitan North,The Ponds,Attempted Suicide,,,Executive staff member reports a student has attempted ##### on school grounds. First aid was applied. Ambulance and parents called. Student conveyed to hospital via ambulance with parents meeting them there. Supports are being arranged for staff and student involved. School is still investigating the incident. Director Educational Leadership will be notified.,1,On workplace grounds
S-2022-213560,20/07/2022 12:12,Term 3,Violence,Metropolitan South and West,Penrith,Allegations Of Sexual Assault,,,"An executive staff member reports concerns for a student following allegations of ##### assault off school grounds. Supports are in place. Police are aware. ##### has been completed. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-213576,20/07/2022 12:23,Term 3,Weapon,Regional North and West,Great Lakes,Possession of a weapon,,,"Executive staff reports a student in possession of a #####on school grounds. No threats or harm was caused. Parents were aware and notified the school. Police were contacted. Media unit have been contacted. Director, Educational Leadership has been informed.",1,On workplace grounds
S-2022-213691,20/07/2022 13:16,Term 3,Violence,Regional North,Blue Mountains,Threat / Intimidation / Offens. Conduct,,,An executive staff member reports a student allegedly made threats of violence towards another student on school grounds. No injuries were sustained. Parents will be notified. Police were contacted and the school will manage the matter. Supports will be provided to ##### students.,1,On workplace grounds
S-2022-213747,20/07/2022 13:38,Term 3,Emergency Situation,Metropolitan North,Mount Druitt,Utility Failure,,,A staff member reported a utility failure on school grounds. Asset Management Unit will be notified. Parents will be notified. School continues to manage the matter. An executive staff member was aware.,1,On workplace grounds
S-2022-213907,20/07/2022 14:28,Term 3,Violence,Rural North,Northern Tablelands,Assault,,,"Executive employee reports a student sustained an injury after being  #####  assaulted another student on school grounds. First aid was applied. Ambulance was contacted and conveyed the student to hospital accompanied by a staff member. Parents were notified. The school is managing the matter and supports are in place. Director, Educational Leadership will be notified.",1,On workplace grounds
S-2022-214006,20/07/2022 15:05,Term 3,Welfare,Regional South,Macarthur,Student Behaviour,,,An executive staff member reports that a student has sustained an injury following an incident of student behaviour on school grounds. First aid was administered. Parents have been notified. Student was conveyed to hospital by their parents. Supports to be organised.,1,On workplace grounds
