"year","month","incident_count"
2019,"Jan",9
2019,"Feb",198
2019,"Mar",308
2019,"Apr",167
2019,"May",473
2019,"Jun",393
2019,"Jul",204
2019,"Aug",412
2019,"Sep",395
2019,"Oct",333
2019,"Nov",703
2019,"Dec",330
2020,"Jan",24
2020,"Feb",251
2020,"Mar",190
2020,"Apr",22
2020,"May",89
2020,"Jun",242
2020,"Jul",139
2020,"Aug",221
2020,"Sep",201
2020,"Oct",161
2020,"Nov",188
2020,"Dec",136
2021,"Jan",2
2021,"Feb",177
2021,"Mar",319
2021,"Apr",103
2021,"May",261
2021,"Jun",223
2021,"Jul",84
2021,"Aug",77
2021,"Sep",16
2021,"Oct",83
2021,"Nov",235
2021,"Dec",126
2022,"Jan",4
2022,"Feb",342
2022,"Mar",1002
2022,"Apr",283
2022,"May",318
2022,"Jun",373
2022,"Jul",190
2022,"Aug",430
2022,"Sep",328
2022,"Oct",389
2022,"Nov",553
2022,"Dec",197
2023,"Jan",15
2023,"Feb",571
2023,"Mar",772
2023,"Apr",183
2023,"May",656
2023,"Jun",622
2023,"Jul",296
2023,"Aug",766
2023,"Sep",512
2023,"Oct",510
2023,"Nov",848
2023,"Dec",309
