"year","principal_network_name","number_of_incidents","rnk"
2019,"Glenfield",94,1
2019,"Campbelltown",90,2
2019,"Mount Druitt",82,3
2019,"The Ponds",78,4
2019,"Tuggerah Lakes",72,5
2019,"Macquarie",68,6
2019,"Bungarribee",66,7
2019,"Maitland",63,8
2019,"Parramatta",62,9
2019,"Albury",61,10
2020,"Campbelltown",45,1
2020,"Albury",42,2
2020,"Mount Druitt",41,3
2020,"St Andrews",39,4
2020,"Glenfield",39,4
2020,"South Coast",33,5
2020,"Fairfield",29,6
2020,"Chipping Norton",28,7
2020,"Tuggerah Lakes",27,8
2020,"Macquarie",27,8
2020,"Cowpasture",27,8
2020,"Wollondilly",27,8
2020,"Quakers Hill",27,8
2020,"Eastern Creek",27,8
2020,"Ryde",26,9
2020,"Orange",26,9
2020,"Great Lakes",26,9
2020,"Camden",26,9
2020,"Girraween",25,10
2020,"Mooney Mooney",25,10
2020,"Bungarribee",25,10
2021,"Blue Mountains",38,1
2021,"Eastern Creek",37,2
2021,"Tuggerah Lakes",36,3
2021,"Great Lakes",35,4
2021,"Lithgow",34,5
2021,"Glenfield",33,6
2021,"Connected Communities Team 1",33,6
2021,"Orange",28,7
2021,"Bathurst",27,8
2021,"St Andrews",27,8
2021,"Wagga Wagga",26,9
2021,"Mount Druitt",26,9
2021,"Coffs Harbour",25,10
2022,"Wollondilly",96,1
2022,"Lennox Coast",88,2
2022,"Camden",87,3
2022,"Lake Illawarra South",84,4
2022,"Penrith",81,5
2022,"Connected Communities Team 1",79,6
2022,"Tuggerah Lakes",79,6
2022,"Lake Illawarra North",77,7
2022,"Eastern Creek",74,8
2022,"Macarthur",73,9
2022,"Richmond",73,9
2022,"Mount Druitt",73,9
2022,"Campbelltown",72,10
2023,"Tuggerah Lakes",154,1
2023,"Maitland",134,2
2023,"Connected Communities Team 1",130,3
2023,"Wambuul-Macquarie",129,4
2023,"Glenfield",127,5
2023,"Campbelltown",110,6
2023,"Mount Druitt",103,7
2023,"St Andrews",103,7
2023,"Lake Illawarra North",102,8
2023,"Bathurst",96,9
2023,"Port Stephens",91,10
